model,val_oos_r2,test_oos_r2,val_hunloss
Net1,-1.4837662982304867,-0.5262775050378625,inf
Net2,-1564539617.7398589,-532204656.0504877,10187630968832.0
Net3,-5.1139503658648167e-05,-0.0003513563691692756,8447.9716796875
Net4,-0.0007425837266379354,-0.000903334861612759,8453.8125
Net5,-6.894851017539913,-2.2521927935782458,inf
Net6,-40.64187474259103,-12.981587338104811,inf
